patch_id,region,px_r0,px_c0,size,is_overlap,pooled_split,n_valid_px,valid_frac,n_loss_px,loss_frac,loss_frac_of_valid,has_loss
wayanad__p_00_00,wayanad,0,0,256,0,test,62719,0.957,239,0.003647,0.003811,1
wayanad__p_00_01,wayanad,0,256,256,0,test,62789,0.9581,193,0.002945,0.003074,1
wayanad__p_00_02,wayanad,0,512,256,0,train,62865,0.9592,97,0.00148,0.001543,1
wayanad__p_00_03,wayanad,0,768,256,0,train,62966,0.9608,0,0.0,0.0,0
wayanad__p_00_04,wayanad,0,1024,256,0,train,64000,0.9766,9,0.000137,0.000141,1
wayanad__p_00_05,wayanad,0,1280,256,0,train,64048,0.9773,0,0.0,0.0,0
wayanad__p_00_06,wayanad,0,1536,256,0,test,64768,0.9883,108,0.001648,0.001667,1
wayanad__p_00_07,wayanad,0,1792,256,0,test,64768,0.9883,250,0.003815,0.00386,1
wayanad__p_00_08,wayanad,0,2048,256,0,val,64831,0.9892,173,0.00264,0.002668,1
wayanad__p_00_09,wayanad,0,2304,256,0,val,65536,1.0,118,0.001801,0.001801,1
wayanad__p_00_10,wayanad,0,2560,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_01_00,wayanad,256,0,256,0,test,65485,0.9992,445,0.00679,0.006795,1
wayanad__p_01_01,wayanad,256,256,256,0,test,65536,1.0,572,0.008728,0.008728,1
wayanad__p_01_02,wayanad,256,512,256,0,train,65201,0.9949,436,0.006653,0.006687,1
wayanad__p_01_03,wayanad,256,768,256,0,train,64771,0.9883,52,0.000793,0.000803,1
wayanad__p_01_04,wayanad,256,1024,256,0,train,65536,1.0,39,0.000595,0.000595,1
wayanad__p_01_05,wayanad,256,1280,256,0,train,65536,1.0,30,0.000458,0.000458,1
wayanad__p_01_06,wayanad,256,1536,256,0,test,65532,0.9999,44,0.000671,0.000671,1
wayanad__p_01_07,wayanad,256,1792,256,0,test,65536,1.0,88,0.001343,0.001343,1
wayanad__p_01_08,wayanad,256,2048,256,0,val,65536,1.0,51,0.000778,0.000778,1
wayanad__p_01_09,wayanad,256,2304,256,0,val,65536,1.0,0,0.0,0.0,0
wayanad__p_01_10,wayanad,256,2560,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_02_00,wayanad,512,0,256,0,train,65280,0.9961,100,0.001526,0.001532,1
wayanad__p_02_01,wayanad,512,256,256,0,train,65536,1.0,27,0.000412,0.000412,1
wayanad__p_02_02,wayanad,512,512,256,0,val,65142,0.994,69,0.001053,0.001059,1
wayanad__p_02_03,wayanad,512,768,256,0,val,64769,0.9883,344,0.005249,0.005311,1
wayanad__p_02_04,wayanad,512,1024,256,0,test,65536,1.0,345,0.005264,0.005264,1
wayanad__p_02_05,wayanad,512,1280,256,0,test,65536,1.0,273,0.004166,0.004166,1
wayanad__p_02_06,wayanad,512,1536,256,0,train,65536,1.0,48,0.000732,0.000732,1
wayanad__p_02_07,wayanad,512,1792,256,0,train,65536,1.0,96,0.001465,0.001465,1
