patch_id,region,px_r0,px_c0,size,is_overlap,pooled_split,n_valid_px,valid_frac,n_loss_px,loss_frac,loss_frac_of_valid,has_loss
wayanad__p_00_00,wayanad,0,0,256,0,test,62719,0.957,295,0.004501,0.004704,1
wayanad__p_00_01,wayanad,0,256,256,0,test,62789,0.9581,226,0.003448,0.003599,1
wayanad__p_00_02,wayanad,0,512,256,0,train,62865,0.9592,78,0.00119,0.001241,1
wayanad__p_00_03,wayanad,0,768,256,0,train,62966,0.9608,0,0.0,0.0,0
wayanad__p_00_04,wayanad,0,1024,256,0,train,64000,0.9766,0,0.0,0.0,0
wayanad__p_00_05,wayanad,0,1280,256,0,train,64048,0.9773,10,0.000153,0.000156,1
wayanad__p_00_06,wayanad,0,1536,256,0,test,64768,0.9883,435,0.006638,0.006716,1
wayanad__p_00_07,wayanad,0,1792,256,0,test,64768,0.9883,460,0.007019,0.007102,1
wayanad__p_00_08,wayanad,0,2048,256,0,val,64831,0.9892,12,0.000183,0.000185,1
wayanad__p_00_09,wayanad,0,2304,256,0,val,65536,1.0,0,0.0,0.0,0
wayanad__p_00_10,wayanad,0,2560,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_01_00,wayanad,256,0,256,0,test,65485,0.9992,540,0.00824,0.008246,1
wayanad__p_01_01,wayanad,256,256,256,0,test,65536,1.0,246,0.003754,0.003754,1
wayanad__p_01_02,wayanad,256,512,256,0,train,65201,0.9949,348,0.00531,0.005337,1
wayanad__p_01_03,wayanad,256,768,256,0,train,64771,0.9883,671,0.010239,0.01036,1
wayanad__p_01_04,wayanad,256,1024,256,0,train,65536,1.0,39,0.000595,0.000595,1
wayanad__p_01_05,wayanad,256,1280,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_01_06,wayanad,256,1536,256,0,test,65532,0.9999,9,0.000137,0.000137,1
wayanad__p_01_07,wayanad,256,1792,256,0,test,65536,1.0,79,0.001205,0.001205,1
wayanad__p_01_08,wayanad,256,2048,256,0,val,65536,1.0,148,0.002258,0.002258,1
wayanad__p_01_09,wayanad,256,2304,256,0,val,65536,1.0,0,0.0,0.0,0
wayanad__p_01_10,wayanad,256,2560,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_02_00,wayanad,512,0,256,0,train,65280,0.9961,401,0.006119,0.006143,1
wayanad__p_02_01,wayanad,512,256,256,0,train,65536,1.0,120,0.001831,0.001831,1
wayanad__p_02_02,wayanad,512,512,256,0,val,65142,0.994,39,0.000595,0.000599,1
wayanad__p_02_03,wayanad,512,768,256,0,val,64769,0.9883,448,0.006836,0.006917,1
wayanad__p_02_04,wayanad,512,1024,256,0,test,65536,1.0,393,0.005997,0.005997,1
wayanad__p_02_05,wayanad,512,1280,256,0,test,65536,1.0,197,0.003006,0.003006,1
wayanad__p_02_06,wayanad,512,1536,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_02_07,wayanad,512,1792,256,0,train,65536,1.0,200,0.003052,0.003052,1
wayanad__p_02_08,wayanad,512,2048,256,0,train,65536,1.0,135,0.00206,0.00206,1
wayanad__p_02_09,wayanad,512,2304,256,0,train,65536,1.0,24,0.000366,0.000366,1
wayanad__p_02_10,wayanad,512,2560,256,0,train,65536,1.0,86,0.001312,0.001312,1
wayanad__p_03_00,wayanad,768,0,256,0,train,65280,0.9961,42,0.000641,0.000643,1
wayanad__p_03_01,wayanad,768,256,256,0,train,65384,0.9977,133,0.002029,0.002034,1
wayanad__p_03_02,wayanad,768,512,256,0,val,65211,0.995,275,0.004196,0.004217,1
wayanad__p_03_03,wayanad,768,768,256,0,val,65536,1.0,171,0.002609,0.002609,1
wayanad__p_03_04,wayanad,768,1024,256,0,test,65536,1.0,30,0.000458,0.000458,1
wayanad__p_03_05,wayanad,768,1280,256,0,test,65536,1.0,299,0.004562,0.004562,1
wayanad__p_03_06,wayanad,768,1536,256,0,train,65536,1.0,432,0.006592,0.006592,1
wayanad__p_03_07,wayanad,768,1792,256,0,train,65536,1.0,276,0.004211,0.004211,1
wayanad__p_03_08,wayanad,768,2048,256,0,train,65536,1.0,55,0.000839,0.000839,1
wayanad__p_03_09,wayanad,768,2304,256,0,train,65536,1.0,6,9.2e-05,9.2e-05,1
wayanad__p_03_10,wayanad,768,2560,256,0,train,65536,1.0,0,0.0,0.0,0
